Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
abalone9-18,1,1,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,657.0,74.0,71.0,3.0,0.0,95.94594594594595,4.054054054054054,0.0,0.5542168674698794,0.0787837837837838,0.19479372319095548,67.08521040684481,77.54597900015196,26.493314286164683,14.521372788916262,11.971941497248421,0.35801776062384705,0.1962347674177873,0.16178299320605974,-5.978211394979753,-0.08078664047269936,-22.564981226609646,1.0,69.0,0.6,3.0,0.4,2.0,0.0,0.0,0.9583333333333334,1.0,0.9787234042553191,0.6191391873668903,0.9260869565217391,0.9941383503642162,0.9594594594594594,0.5594594594594594,0.44054054054054054,0.04054054054054054,0.9611486486486487,0.9594594594594594,0.9512034831183767,0.6191391873668903,0.9260869565217391,0.9745858878235194,0.7750759878419453,0.9594594594594594,0.06,0.001,0.058825,7.6E-4,58.825,0.76,391060.0,62583.0,8364.0,98.64864864864865,62.83783783783784,?
abalone9-18,1,2,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.3080568720379143,0.07794520547945204,0.21858511398261896,72.56811594202895,96.0310158374631,22.386900147282347,2155.9098776621113,-2133.522977514829,0.30666986503126503,29.53301202276865,-29.226342157737385,-4.488733871499537,-0.06148950508903476,-20.050716454571074,0.9855072463768116,68.0,0.75,3.0,0.25,1.0,0.014492753623188406,1.0,0.9577464788732394,0.9855072463768116,0.9714285714285714,0.32833308206471973,0.6032608695652174,0.9530848370408528,0.9452054794520548,0.7096982330752432,0.2903017669247568,0.0547945205479452,0.9326644800308701,0.9452054794520548,0.9364644487932158,0.32833308206471973,0.6032608695652174,0.9194855177659551,0.6523809523809524,0.9452054794520548,0.037,0.001,0.037459000000000006,8.23E-4,37.459,0.823,385790.0,62676.0,8271.0,97.26027397260275,58.9041095890411,?
abalone9-18,1,3,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.3080568720379143,0.10315068493150682,0.21192852245541888,96.03478260869562,93.10657494244909,22.386900147282347,16.076022890695217,6.31087725658713,0.30666986503126503,0.22021949165335913,0.08645037337790588,-19.16133174271925,-0.26248399647560616,-85.59171487190171,0.9855072463768116,68.0,0.75,3.0,0.25,1.0,0.014492753623188406,1.0,0.9577464788732394,0.9855072463768116,0.9714285714285714,0.32833308206471973,0.9057971014492754,0.994007325567397,0.9452054794520548,0.7096982330752432,0.2903017669247568,0.0547945205479452,0.9326644800308701,0.9452054794520548,0.9364644487932158,0.32833308206471973,0.9057971014492753,0.9597155169435296,0.6523809523809524,0.9452054794520548,0.038,0.001,0.037806,7.49E-4,37.806,0.749,386908.0,62676.0,8271.0,100.0,69.86301369863014,?
abalone9-18,1,4,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.0,0.07136986301369865,0.2013345882811897,66.4463768115942,88.45234098328139,22.386900147282347,14.366241950898328,8.02065819638402,0.30666986503126503,0.1967978349438127,0.10987203008745232,-1.315743339014773,-0.018023881356366754,-5.877291319291909,1.0,69.0,1.0,4.0,0.0,0.0,0.0,0.0,0.9452054794520548,1.0,0.971830985915493,NaN,0.9311594202898551,0.9957209916367195,0.9452054794520548,0.9452054794520548,0.0547945205479452,0.0547945205479452,NaN,0.9452054794520548,NaN,NaN,0.9311594202898551,0.9683625028581908,NaN,0.9452054794520548,0.037,0.001,0.03752900000000001,8.309999999999999E-4,37.529,0.831,395641.0,62676.0,8271.0,100.0,59.58904109589041,?
abalone9-18,1,5,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.0,0.08136986301369863,0.1855092952661321,75.75652173913042,81.49981372068686,22.386900147282347,13.68737739523726,8.699522752045088,0.30666986503126503,0.18749832048270218,0.11917154454856284,-8.744437221663224,-0.11978681125566061,-39.060509334181994,1.0,69.0,1.0,4.0,0.0,0.0,0.0,0.0,0.9452054794520548,1.0,0.971830985915493,NaN,0.9094202898550725,0.9929211965412938,0.9452054794520548,0.9452054794520548,0.0547945205479452,0.0547945205479452,NaN,0.9452054794520548,NaN,NaN,0.9094202898550725,0.9779533536905999,NaN,0.9452054794520548,0.038,0.001,0.037319000000000005,7.49E-4,37.319,0.749,389920.0,62676.0,8271.0,98.63013698630137,65.75342465753425,?
abalone9-18,1,6,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,71.0,2.0,0.0,97.26027397260275,2.73972602739726,0.0,0.6540284360189571,0.0643835616438356,0.17113641118381767,59.94202898550722,75.18537339219995,22.386900147282347,10.763413303633586,11.623486843648761,0.30666986503126503,0.14744401785799433,0.1592258471732707,-0.3607358754530363,-0.0049415873349731,-1.6113703687414167,1.0,69.0,0.5,2.0,0.5,2.0,0.0,0.0,0.971830985915493,1.0,0.9857142857142858,0.697076389614328,0.9583333333333334,0.9973813342780002,0.9726027397260274,0.4726027397260274,0.5273972602739726,0.0273972602739726,0.9733744935365619,0.9726027397260274,0.968232224396608,0.697076389614328,0.9583333333333333,0.982260634943785,0.8261904761904761,0.9726027397260274,0.039,0.001,0.038659,8.37E-4,38.659,0.837,400261.0,62676.0,8271.0,100.0,60.273972602739725,?
abalone9-18,1,7,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,70.0,3.0,0.0,95.89041095890411,4.109589041095891,0.0,0.38655462184873846,0.06726027397260276,0.18498796702814344,62.62028985507247,81.2707785436492,22.386900147282347,13.7379901818287,8.648909965453647,0.30666986503126503,0.18819164632642055,0.11847821870484448,1.1500175648059128,0.015753665271313874,5.137011186184788,1.0,69.0,0.75,3.0,0.25,1.0,0.0,0.0,0.9583333333333334,1.0,0.9787234042553191,0.4894725051862805,0.9021739130434783,0.9926552088242219,0.958904109589041,0.708904109589041,0.2910958904109589,0.0410958904109589,0.9606164383561644,0.958904109589041,0.9470125327892741,0.48947250518628044,0.9021739130434782,0.9733577283667955,0.6893617021276596,0.958904109589041,0.039,0.001,0.038714,8.33E-4,38.714,0.833,399796.0,62676.0,8271.0,98.63013698630137,60.273972602739725,?
abalone9-18,1,8,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.0,0.09301369863013696,0.2290450694418381,86.59710144927533,100.62638891690943,22.386900147282347,1089.692635969366,-1067.3057358220835,0.30666986503126503,14.927296383142,-14.620626518110733,-13.738400262422251,-0.18819726386879795,-61.36803296587724,1.0,69.0,1.0,4.0,0.0,0.0,0.0,0.0,0.9452054794520548,1.0,0.971830985915493,NaN,0.6539855072463768,0.9637994600720947,0.9452054794520548,0.9452054794520548,0.0547945205479452,0.0547945205479452,NaN,0.9452054794520548,NaN,NaN,0.6539855072463768,0.92160541590083,NaN,0.9452054794520548,0.038,0.001,0.037136,5.55E-4,37.136,0.555,366087.0,62676.0,8271.0,95.89041095890411,63.013698630136986,?
abalone9-18,1,9,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.0,0.08273972602739726,0.20933030856087653,77.03188405797101,91.96510142163214,22.386900147282347,14.853533320892911,7.533366826389436,0.30666986503126503,0.20347305919031386,0.10319680584095117,-5.1039123194019735,-0.06991660711509552,-22.798655847051524,1.0,69.0,1.0,4.0,0.0,0.0,0.0,0.0,0.9452054794520548,1.0,0.971830985915493,NaN,0.9239130434782609,0.9953367192511984,0.9452054794520548,0.9452054794520548,0.0547945205479452,0.0547945205479452,NaN,0.9452054794520548,NaN,NaN,0.9239130434782609,0.958491784863005,NaN,0.9452054794520548,0.037,0.001,0.036954,8.489999999999999E-4,36.954,0.849,381937.0,62676.0,8271.0,100.0,61.64383561643836,?
abalone9-18,1,10,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,70.0,3.0,0.0,95.89041095890411,4.109589041095891,0.0,0.5539714867617104,0.09246575342465752,0.2332233922335654,78.24025289778712,92.24657086893055,26.40947170384566,1092.7296164488453,-1066.3201447449997,0.36177358498418716,14.968898855463634,-14.607125270479447,-10.015623648383094,-0.13720032395045334,-37.92436198912927,1.0,68.0,0.6,3.0,0.4,2.0,0.0,0.0,0.9577464788732394,1.0,0.9784172661870503,0.6189495872438204,0.7058823529411765,0.9617769636471744,0.958904109589041,0.558904109589041,0.4410958904109589,0.0410958904109589,0.9606405556627434,0.958904109589041,0.9505413281898943,0.6189495872438204,0.7058823529411765,0.9272013828451868,0.7749229188078108,0.958904109589041,0.036,0.001,0.035917000000000004,5.31E-4,35.917,0.531,366438.0,62676.0,8271.0,95.89041095890411,59.58904109589041,?
